date,y
2016-02-19,5651.0
2016-02-20,3476.0
2016-02-21,3480.0
2016-02-22,6389.0
2016-02-23,6687.0
2016-02-24,6237.0
2016-02-25,5608.0
2016-02-26,10242.0
2016-02-27,4201.0
2016-02-28,4890.0
2016-02-29,6657.0
2016-03-01,6079.0
2016-03-02,6045.0
2016-03-03,140428.0
2016-03-04,5317.0
2016-03-05,3774.0
2016-03-06,3854.0
2016-03-07,5806.0
2016-03-08,5846.0
2016-03-09,5591.0
2016-03-10,6972.0
2016-03-11,4725.0
2016-03-12,3270.0
2016-03-13,6178.0
2016-03-14,5765.0
2016-03-15,5545.0
2016-03-16,5457.0
2016-03-17,5535.0
2016-03-18,5216.0
2016-03-19,3319.0
2016-03-20,3573.0
2016-03-21,5184.0
2016-03-22,5617.0
2016-03-23,5470.0
2016-03-24,4867.0
2016-03-25,3515.0
2016-03-26,2794.0
2016-03-27,3010.0
2016-03-28,4459.0
2016-03-29,5257.0
2016-03-30,4976.0
2016-03-31,5047.0
2016-04-01,5214.0
2016-04-02,3463.0
2016-04-03,3422.0
2016-04-04,5002.0
2016-04-05,5628.0
2016-04-06,5559.0
2016-04-07,5197.0
2016-04-08,4996.0
2016-04-09,3982.0
2016-04-10,3450.0
2016-04-11,5652.0
2016-04-12,5464.0
2016-04-13,5587.0
2016-04-14,5440.0
2016-04-15,4997.0
2016-04-16,3088.0
2016-04-17,3019.0
2016-04-18,5156.0
2016-04-19,6197.0
2016-04-20,5696.0
2016-04-21,5144.0
2016-04-22,4866.0
2016-04-23,3794.0
2016-04-24,3161.0
2016-04-25,5006.0
2016-04-26,5340.0
2016-04-27,5460.0
2016-04-28,5480.0
2016-04-29,4760.0
2016-04-30,3171.0
2016-05-01,3373.0
2016-05-02,5140.0
2016-05-03,5335.0
2016-05-04,5455.0
2016-05-05,6096.0
2016-05-06,5070.0
2016-05-07,3182.0
2016-05-08,3136.0
2016-05-09,5423.0
2016-05-10,6074.0
2016-05-11,5581.0
2016-05-12,5366.0
2016-05-13,5276.0
2016-05-14,3397.0
2016-05-15,3548.0
2016-05-16,5777.0
2016-05-17,5863.0
2016-05-18,5541.0
2016-05-19,5347.0
2016-05-20,4639.0
2016-05-21,2985.0
2016-05-22,3851.0
2016-05-23,5161.0
2016-05-24,6418.0
2016-05-25,4788.0
2016-05-26,4540.0
2016-05-27,3982.0
2016-05-28,2625.0
2016-05-29,2617.0
2016-05-30,3526.0
2016-05-31,4966.0
2016-06-01,4901.0
2016-06-02,4709.0
2016-06-03,4163.0
2016-06-04,3387.0
2016-06-05,3204.0
2016-06-06,4578.0
2016-06-07,4971.0
2016-06-08,4430.0
2016-06-09,4222.0
2016-06-10,5514.0
2016-06-11,3903.0
2016-06-12,6795.0
